epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0005000000237487257,0.16743743419647217,0.4995114505290985,0.6591312289237976,0.1883695423603058,0.5854793190956116,0.6021594405174255
1,0.0005000000237487257,0.15320660173892975,0.4559076726436615,0.6336344480514526,0.1488838493824005,0.45119109749794006,0.6080541610717773
2,0.0005000000237487257,0.15160530805587769,0.449026882648468,0.6312786936759949,0.14783401787281036,0.427620530128479,0.6305238008499146
3,0.0005000000237487257,0.15097513794898987,0.4457712471485138,0.6306666135787964,0.1477508544921875,0.42734193801879883,0.629491925239563
4,0.0005000000237487257,0.15052799880504608,0.4436967670917511,0.6300176382064819,0.1475364863872528,0.4259374439716339,0.6297665238380432
5,0.0005000000237487257,0.15008842945098877,0.4418395757675171,0.628943681716919,0.14748816192150116,0.4268532693386078,0.6277833580970764
6,0.0005000000237487257,0.15003551542758942,0.4413122832775116,0.6293235421180725,0.14740151166915894,0.4274362325668335,0.6272103190422058
7,0.0005000000237487257,0.149753138422966,0.44015756249427795,0.628631591796875,0.14734338223934174,0.4278731942176819,0.6244871020317078
8,0.0005000000237487257,0.14959976077079773,0.43942344188690186,0.6285048723220825,0.14732734858989716,0.42942818999290466,0.6213254332542419
9,0.0005000000237487257,0.1494869887828827,0.4390256106853485,0.6283757090568542,0.147237166762352,0.4302067160606384,0.6212097406387329
10,0.0005000000237487257,0.14938540756702423,0.4384653568267822,0.6283444166183472,0.14734621345996857,0.4319603145122528,0.620100200176239
11,0.0005000000237487257,0.1492752879858017,0.43820720911026,0.6280071139335632,0.1473827213048935,0.43474650382995605,0.6171643137931824
12,0.0005000000237487257,0.14922736585140228,0.4379950761795044,0.6280389428138733,0.14724911749362946,0.4344516098499298,0.6183972954750061
13,0.0005000000237487257,0.1491452157497406,0.43761202692985535,0.6279770135879517,0.14714783430099487,0.43383342027664185,0.6191155910491943
